Gene,Pathogenic,Likely pathogenic,VUS,Likely benign,Benign,GTR_tests,Disease,B_cell,HAP1,Known_complex,ComplexName,GFP_tagged,GFP_score,meltPoint,Stable,Secreted
DDX51,0,0,0,0,1,1,NA,Essential,Essential,No,NA,No,NA,51.26280685,yes,No
DDX56,0,0,0,0,3,1,NA,Essential,Essential,No,NA,No,NA,52.69042155,yes,No
DDX6,5,0,0,0,0,2,INTELLECTUAL DEVELOPMENTAL DISORDER WITH IMPAIRED LANGUAGE AND DYSMORPHIC FACIES,Essential,Essential,No,NA,No,NA,51.23328383,yes,No
DNTTIP2,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,52.77534308,yes,No
DONSON,7,0,3,3,2,11,"MICROCEPHALY, SHORT STATURE, AND LIMB ABNORMALITIES",Essential,Essential,No,NA,No,NA,49.92460306,yes,No
DYNLRB1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,61.02255163,yes,No
E4F1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,52.79185332,yes,No
ECD,0,0,0,2,1,1,NA,Essential,Essential,No,NA,No,NA,49.90428427,yes,No
EIF1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,62.39418444,yes,No
EIF1AD,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,54.67281827,yes,No
EIF5B,0,0,0,0,4,1,NA,Essential,Essential,No,NA,No,NA,52.05205574,yes,No
ELAC2,5,3,60,75,43,67,Combined oxidative phosphorylation deficiency,Essential,Essential,No,NA,No,NA,60.84762027,yes,No
ELP5,0,0,0,0,3,1,NA,Essential,Essential,No,NA,No,NA,56.95831885,yes,No
ELP6,0,0,0,0,1,1,NA,Essential,Essential,No,NA,No,NA,55.56664562,yes,No
FARSA,0,0,1,0,0,1,NA,Essential,Essential,No,NA,No,NA,49.77599558,yes,No
FARSB,6,2,1,0,0,1,NA,Essential,Essential,No,NA,No,NA,50.17453774,yes,No
FDX1L,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,56.33471776,yes,No
GBF1,0,0,0,0,3,2,NA,Essential,Essential,No,NA,No,NA,49.4679147,yes,No
GGPS1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,61.14869485,yes,No
GINS2,0,0,0,0,2,1,NA,Essential,Essential,No,NA,No,NA,50.86100854,yes,No
GINS3,0,0,2,0,0,0,NA,Essential,Essential,No,NA,No,NA,51.63863106,yes,No
GLRX5,5,0,1,11,8,53,NA,Essential,Essential,No,NA,No,NA,51.7765914,yes,No
GLTSCR2,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,55.65825234,yes,No
GPN1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,63.09970819,yes,No
GPN2,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,60.18888291,yes,No
GPN3,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,59.40075359,yes,No
GSPT1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,53.9940664,yes,No
HMGCS1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,55.05994229,yes,No
IPO7,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,52.32645879,yes,No
IPO9,0,0,0,0,1,1,NA,Essential,Essential,No,NA,No,NA,52.57365077,yes,No
ISCU,2,0,5,13,14,69,"Myopathy with lactic acidosis, hereditary",Essential,Essential,No,NA,No,NA,55.02792974,yes,No
LENG1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,58.86717665,yes,No
LIAS,1,4,60,33,20,88,Pyruvate dehydrogenase lipoic acid synthetase deficiency,Essential,Essential,No,NA,No,NA,56.20412128,yes,No
LIN52,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,51.96142851,yes,No
LONP1,4,6,16,58,24,32,CODAS syndrome,Essential,Essential,No,NA,No,NA,54.88921526,yes,No
LUC7L3,0,0,0,0,1,1,NA,Essential,Essential,No,NA,No,NA,52.82509428,yes,No
MAK16,0,0,0,1,0,1,NA,Essential,Essential,No,NA,No,NA,55.96541313,yes,No
MDN1,0,0,3,5,4,3,NA,Essential,Essential,No,NA,No,NA,49.8733244,yes,No
METAP1,0,0,0,0,1,1,NA,Essential,Essential,No,NA,No,NA,54.16729846,yes,No
METAP2,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,64.92396351,yes,No
METTL3,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,52.06385959,yes,No
MFN2,37,43,345,95,43,155,NA,Essential,Essential,No,NA,No,NA,50.8793416,yes,No
MPHOSPH10,0,0,0,0,4,1,NA,Essential,Essential,No,NA,No,NA,53.03096698,yes,No
MRPL21,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,50.4202113,yes,No
MRPL45,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,50.09791172,yes,No
MRTO4,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,52.8685827,yes,No
N6AMT1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,55.19906895,yes,No
NAA10,8,14,14,5,6,69,N-terminal acetyltransferase deficiency,Essential,Essential,No,NA,No,NA,51.77986284,yes,No
NAA20,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,50.80861785,yes,No
NAA25,0,0,0,3,0,1,NA,Essential,Essential,No,NA,No,NA,51.03735248,yes,No
NAA38,0,0,1,1,0,1,NA,Essential,Essential,No,NA,No,NA,51.77558734,yes,No
NAE1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,51.58438146,yes,No
NAF1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,53.17429736,yes,No
NEDD1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,52.2379213,yes,No
NHP2,3,0,28,8,3,75,"Dyskeratosis congenita, autosomal recessive 2",Essential,Essential,No,NA,No,NA,53.84453616,yes,No
NIP7,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,53.81207947,yes,No
NOC3L,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,52.04847761,yes,No
NOL7,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,55.52882766,yes,No
NOL8,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,49.05833874,yes,No
NOL9,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,51.66767862,yes,No
NOP10,1,0,15,9,6,74,Dyskeratosis congenita autosomal recessive 1,Essential,Essential,No,NA,No,NA,53.71847281,yes,No
NOP14,0,0,0,1,1,1,NA,Essential,Essential,No,NA,No,NA,48.53103925,yes,No
NOP16,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,56.14501787,yes,No
NOP2,0,0,0,0,6,1,NA,Essential,Essential,No,NA,No,NA,55.87035331,yes,No
NPLOC4,0,0,0,1,3,1,NA,Essential,Essential,No,NA,No,NA,52.32916286,yes,No
NR2C2AP,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,53.36848106,yes,No
NSMCE1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,49.85023691,yes,No
NSMCE4A,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,50.08322572,yes,No
NUBP1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,52.27801623,yes,No
NUP153,0,0,0,2,9,1,NA,Essential,Essential,No,NA,No,NA,55.69559802,yes,No
NUP205,1,1,3,7,12,16,"Nephrotic syndrome, type 13",Essential,Essential,No,NA,No,NA,50.72367123,yes,No
NUP88,2,0,0,0,0,3,FETAL AKINESIA DEFORMATION SEQUENCE 4,Essential,Essential,No,NA,No,NA,49.63848916,yes,No
NVL,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,50.32918068,yes,No
OIP5,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,53.09041537,yes,No
OPA1,58,31,136,63,59,186,Mitochondrial DNA depletion syndrome 14 (cardioencephalomyopathic type),Essential,Essential,No,NA,No,NA,51.30598704,yes,No
ORAOV1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,53.53341287,yes,No
OXA1L,1,0,1,0,1,5,NA,Essential,Essential,No,NA,No,NA,54.13482239,yes,No
PABPN1,1,0,4,0,1,50,Oculopharyngeal muscular dystrophy,Essential,Essential,No,NA,No,NA,50.70061852,yes,No
PDCD11,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,50.52038017,yes,No
PGGT1B,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,53.26378588,yes,No
PGS1,0,0,1,0,0,2,NA,Essential,Essential,No,NA,No,NA,52.8171736,yes,No
PHAX,0,0,1,1,0,1,NA,Essential,Essential,No,NA,No,NA,52.44178173,yes,No
PLK4,1,1,17,13,8,29,NA,Essential,Essential,No,NA,No,NA,52.10344921,yes,No
PRPF18,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,49.03068887,yes,No
PRPF38B,0,0,2,0,1,1,NA,Essential,Essential,No,NA,No,NA,49.9089779,yes,No
PSMG1,0,0,0,1,2,1,NA,Essential,Essential,No,NA,No,NA,58.76096196,yes,No
PWP2,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,52.69218398,yes,No
RABGGTB,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,52.28661826,yes,No
RBBP5,0,0,0,0,1,1,NA,Essential,Essential,No,NA,No,NA,59.67141307,yes,No
RFC3,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,50.96315196,yes,No
RFT1,8,2,107,27,20,61,Congenital disorder of glycosylation,Essential,Essential,No,NA,No,NA,58.84949681,yes,No
RIOK2,0,0,0,0,4,1,NA,Essential,Essential,No,NA,No,NA,51.22265554,yes,No
RNMT,0,0,0,1,2,1,NA,Essential,Essential,No,NA,No,NA,56.53691442,yes,No
ROMO1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,63.55611674,yes,No
RPL38,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,53.68065041,yes,No
RRP9,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,60.77957815,yes,No
RTFDC1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,51.46931094,yes,No
SHOC2,1,1,68,34,28,169,Rasopathy,Essential,Essential,No,NA,No,NA,51.88899943,yes,No
SKIV2L2,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,51.86484952,yes,No
SLMO2,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,52.27972981,yes,No
SMC5,0,0,0,0,5,1,NA,Essential,Essential,No,NA,No,NA,49.69901614,yes,No
SMC6,0,0,0,0,1,1,NA,Essential,Essential,No,NA,No,NA,49.96411855,yes,No
SON,9,2,12,49,37,19,NA,Essential,Essential,No,NA,No,NA,48.72978959,yes,No
SPATA5,18,11,104,49,13,46,NA,Essential,Essential,No,NA,No,NA,51.65877266,yes,No
SPATA5L1,0,0,1,0,0,1,NA,Essential,Essential,No,NA,No,NA,51.81781116,yes,No
SPCS3,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,53.85555855,yes,No
SRFBP1,0,0,2,0,0,1,NA,Essential,Essential,No,NA,No,NA,54.25311082,yes,No
SRPRB,0,0,0,0,1,1,NA,Essential,Essential,No,NA,No,NA,50.23227241,yes,No
SUGT1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,53.80760132,yes,No
SUPV3L1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,50.81926574,yes,No
SYS1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,57.60406985,yes,No
TACC3,0,0,0,2,8,1,NA,Essential,Essential,No,NA,No,NA,56.8531972,yes,No
TAF13,2,0,0,1,0,5,NA,Essential,Essential,No,NA,No,NA,52.82694184,yes,No
THG1L,1,0,3,0,0,6,NA,Essential,Essential,No,NA,No,NA,55.32511485,yes,No
TIMM10,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,64.19961414,yes,No
TIMM23,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,58.50400066,yes,No
TIMM50,7,0,1,0,1,16,NA,Essential,Essential,No,NA,No,NA,50.42537661,yes,No
TMED2,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,55.52591705,yes,No
TMEM199,4,0,0,7,3,10,NA,Essential,Essential,No,NA,No,NA,54.40366718,yes,No
TNPO3,1,1,112,44,31,43,Limb-girdle muscular dystrophy,Essential,Essential,No,NA,No,NA,51.97252359,yes,No
TOMM40,0,0,0,1,2,8,NA,Essential,Essential,No,NA,No,NA,65.35963662,yes,No
TOP3A,2,0,1,3,4,8,NA,Essential,Essential,No,NA,No,NA,56.32675726,yes,No
TP53RK,3,2,1,6,3,16,Galloway-Mowat syndrome,Essential,Essential,No,NA,No,NA,57.21693827,yes,No
TPR,0,0,1,6,5,3,NA,Essential,Essential,No,NA,No,NA,53.74779125,yes,No
TRAPPC5,0,0,1,0,0,1,NA,Essential,Essential,No,NA,No,NA,49.69194633,yes,No
TRAPPC8,0,0,0,0,3,1,NA,Essential,Essential,No,NA,No,NA,51.98870489,yes,No
TRIAP1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,60.7390804,yes,No
TRMT6,0,0,0,0,2,1,NA,Essential,Essential,No,NA,No,NA,58.63787799,yes,No
TRMT61A,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,60.60485922,yes,No
TSR2,1,0,0,0,1,17,Diamond-Blackfan anemia,Essential,Essential,No,NA,No,NA,51.56971479,yes,No
TTC1,0,1,0,0,1,2,NA,Essential,Essential,No,NA,No,NA,64.6259214,yes,No
TTI2,2,0,7,18,2,22,NA,Essential,Essential,No,NA,No,NA,53.59585892,yes,No
TUT1,0,1,2,2,6,1,NA,Essential,Essential,No,NA,No,NA,45.61150925,yes,No
UBA2,0,0,1,0,0,1,NA,Essential,Essential,No,NA,No,NA,52.32360798,yes,No
UBA3,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,51.01347694,yes,No
UBR4,0,5,11,47,34,1,NA,Essential,Essential,No,NA,No,NA,50.82379035,yes,No
UQCRFS1,3,0,0,0,1,4,"Mitochondrial complex 3 deficiency, nuclear type 10",Essential,Essential,No,NA,No,NA,62.1113466,yes,No
URB2,0,0,1,0,4,1,NA,Essential,Essential,No,NA,No,NA,50.2108928,yes,No
URM1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,50.90935158,yes,No
USP39,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,52.3663807,yes,No
UTP18,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,53.01040522,yes,No
UVRAG,0,0,1,3,2,1,NA,Essential,Essential,No,NA,No,NA,51.29600413,yes,No
VMP1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,53.92486097,yes,No
WBSCR16,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,56.80227471,yes,No
WDR3,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,49.95569653,yes,No
WDR43,0,0,0,0,1,1,NA,Essential,Essential,No,NA,No,NA,62.44425035,yes,No
WDR55,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,52.33889768,yes,No
WDR70,0,0,0,0,2,1,NA,Essential,Essential,No,NA,No,NA,54.07388545,yes,No
WDR75,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,50.33223565,yes,No
WDR82,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,53.10258354,yes,No
WDR92,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,51.10857489,yes,No
WEE1,0,0,0,0,1,4,NA,Essential,Essential,No,NA,No,NA,48.79664289,yes,No
WRB,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,61.26511295,yes,No
YAE1D1,NA,NA,NA,NA,NA,NA,NA,Essential,Essential,No,NA,No,NA,54.59806333,yes,No
ABCE1,0,0,1,0,4,1,NA,non-essential,Essential,No,NA,No,NA,63.03045788,yes,No
ADAT2,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,52.94946799,yes,No
AGPAT5,0,0,0,1,1,2,NA,non-essential,Essential,No,NA,No,NA,52.15978218,yes,No
AIFM1,12,18,58,43,21,126,Charcot-Marie-Tooth Neuropathy X,non-essential,Essential,No,NA,No,NA,58.93183507,yes,No
AKT3,4,4,8,25,8,120,Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2,non-essential,Essential,No,NA,No,NA,53.30007725,yes,No
AMD1,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,52.53158452,yes,No
ANAPC11,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,50.78753307,yes,No
ARGLU1,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,50.62233572,yes,No
ARL6IP1,1,0,4,2,2,19,"Spastic paraplegia 61, autosomal recessive",non-essential,Essential,No,NA,No,NA,66.92247369,yes,No
ASUN,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,49.71208714,yes,No
ATP5E,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,66.74634223,yes,No
ATP5J2,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,59.72300166,yes,No
ATPAF2,1,1,33,18,13,78,Mitochondrial diseases,non-essential,Essential,No,NA,No,NA,59.31445313,yes,No
AURKA,0,1,0,0,1,22,Colorectal cancer,non-essential,Essential,No,NA,No,NA,51.82059826,yes,No
B4GALT5,0,0,0,0,4,2,NA,non-essential,Essential,No,NA,No,NA,49.03354321,yes,No
BCLAF1,0,0,1,2,5,2,NA,non-essential,Essential,No,NA,No,NA,52.00503888,yes,No
BECN1,0,0,0,0,1,1,NA,non-essential,Essential,No,NA,No,NA,51.31442834,yes,No
BNIP1,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,53.55669797,yes,No
BUB1,2,0,1,18,10,7,Colorectal cancer,non-essential,Essential,No,NA,No,NA,52.18300089,yes,No
C9orf41,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,52.32969191,yes,No
CAMLG,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,65.29152173,yes,No
CARS2,1,1,89,80,24,38,Combined oxidative phosphorylation deficiency 27,non-essential,Essential,No,NA,No,NA,52.97058151,yes,No
CCAR1,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,50.30383689,yes,No
CCDC47,0,2,0,1,1,1,Trichohepatoneurodevelopmental syndrome,non-essential,Essential,No,NA,No,NA,52.59454986,yes,No
CCDC59,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,52.2597985,yes,No
CDK12,0,1,16,0,0,22,NA,non-essential,Essential,No,NA,No,NA,50.39778793,yes,No
CDKN2AIP,0,0,1,0,0,1,NA,non-essential,Essential,No,NA,No,NA,49.31469848,yes,No
CENPC1,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,55.1369395,yes,No
CENPF,6,5,28,36,34,28,Stromme syndrome,non-essential,Essential,No,NA,No,NA,50.64434427,yes,No
CEP350,0,0,0,2,2,1,NA,non-essential,Essential,No,NA,No,NA,48.87001413,yes,No
CEP63,2,0,21,13,9,63,Seckel syndrome 6,non-essential,Essential,No,NA,No,NA,56.58837581,yes,No
CHORDC1,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,52.38403243,yes,No
CKAP2L,1,0,4,10,8,23,Filippi syndrome,non-essential,Essential,No,NA,No,NA,53.35289373,yes,No
CLSPN,0,0,0,0,1,1,NA,non-essential,Essential,No,NA,No,NA,49.88744675,yes,No
COA5,1,0,1,6,4,46,"Cardioencephalomyopathy, fatal infantile, due to cytochrome c oxidase deficiency 3",non-essential,Essential,No,NA,No,NA,50.10635733,yes,No
COQ5,0,0,2,3,2,12,NA,non-essential,Essential,No,NA,No,NA,55.83295492,yes,No
CRKL,0,0,1,4,2,17,NA,non-essential,Essential,No,NA,No,NA,53.11738694,yes,No
CRLS1,0,0,0,2,0,2,NA,non-essential,Essential,No,NA,No,NA,58.23603908,yes,No
CTPS1,1,0,23,17,7,23,Immunodeficiency 24,non-essential,Essential,No,NA,No,NA,58.86475564,yes,No
CTU1,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,52.04348976,yes,No
CWC25,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,56.12364936,yes,No
CXorf56,NA,NA,NA,NA,NA,NA,"Intellectual disability, x-linked 107",non-essential,Essential,No,NA,No,NA,51.95990283,yes,No
CYTH1,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,50.01805451,yes,No
DCAF13,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,55.34123807,yes,No
DCAF7,0,0,0,0,3,1,NA,non-essential,Essential,No,NA,No,NA,53.05441048,yes,No
DNAJC8,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,51.05675653,yes,No
DYNC1I2,3,0,0,0,1,1,NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY AND STRUCTURAL BRAIN ANOMALIES,non-essential,Essential,No,NA,No,NA,52.61190176,yes,No
DYNLL1,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,51.09939579,yes,No
DYRK1A,28,22,70,117,20,91,"Mental retardation, autosomal dominant 7",non-essential,Essential,No,NA,No,NA,49.33514327,yes,No
EAPP,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,50.67816772,yes,No
EEFSEC,0,0,0,0,4,2,NA,non-essential,Essential,No,NA,No,NA,49.49411188,yes,No
EFNA5,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,54.13509236,yes,No
EIF4B,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,63.42640927,yes,No
ELOVL5,2,0,3,0,1,19,Spinocerebellar ataxia 38,non-essential,Essential,No,NA,No,NA,53.73341025,yes,No
EMC3,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,52.57550939,yes,No
EMC4,0,0,1,0,0,2,NA,non-essential,Essential,No,NA,No,NA,52.59928613,yes,No
EMC7,0,0,0,0,1,1,NA,non-essential,Essential,No,NA,No,NA,52.36560812,yes,No
FAM133B,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,62.38418647,yes,No
FAM98B,NA,NA,NA,NA,NA,NA,NA,non-essential,Essential,No,NA,No,NA,49.55305704,yes,No
FAR1,3,2,4,9,5,28,NA,non-essential,Essential,No,NA,No,NA,51.77110466,yes,No
FTSJ1,3,0,9,10,10,50,"Mental retardation 9, X-linked",non-essential,Essential,No,NA,No,NA,51.249947,yes,No
FUBP1,0,0,8,0,3,14,NA,non-essential,Essential,No,NA,No,NA,65.36737228,yes,No
FUS,16,6,106,36,40,87,"Amyotrophic lateral sclerosis 6, with or without frontotemporal dementia",non-essential,Essential,No,NA,No,NA,65.03089797,yes,No
FUT4,0,0,0,5,2,1,NA,non-essential,Essential,No,NA,No,NA,51.40843945,yes,No
FZD2,1,4,2,5,5,7,Autosomal dominant omodysplasia,non-essential,Essential,No,NA,No,NA,59.55704621,yes,No
