Unnamed: 0,GeneSymbol,#AlleleID,GeneID,HGNC_ID,PhenotypeIDS,PhenotypeList,Origin,OriginSimple,Assembly,ChromosomeAccession,Chromosome,Cytogenetic,TestedInGTR,SCVsForAggregateSomaticClinicalImpact,Entry,Protein names,Gene Names,Length,Ensembl,Subcellular location [CC],Synonyms,secreted,cytoplasmic,nuclear,class,Benign,Benign; association,Conflicting classifications of pathogenicity,Conflicting classifications of pathogenicity; association,Likely benign,Likely benign; association,Likely pathogenic,Likely pathogenic; Affects,Likely pathogenic; association,Pathogenic,Pathogenic/Likely pathogenic; association,Uncertain significance,Uncertain significance; Affects,Mislocalized,Mislocalization phenotype,is_Toxic_Gene,Disease,B_cell,T_cell,HAP1,Known_complex,ComplexName,GFP_tagged,GFP_score,meltPoint,Stable,Secreted,tagged_terminus,Main location,Additional location,location_feasible
35,ACAT1,17871,38,HGNC:93,"MONDO:MONDO:0008760,MedGen:C1536500,OMIM:203750,Orphanet:134",Deficiency of acetyl-CoA acetyltransferase,germline,germline,GRCh38,NC_000011.10,11,11q22.3,N,-,P24752,"Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (T2)",ACAT1 ACAT MAT,427.0,ENST00000265838.9 [P24752-1];ENST00000299355.10 [P24752-2];,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:1979337}.,ACAT MAT,no,yes,no,cytoplasmic,1,0,16,0,2,0,42,0,0,10,0,104,0,,,False,Disorder of organic acid metabolism,non-essential,Non-essential,non-essential,No,,Yes,3.24,54.77108871,yes,Yes,,Mitochondria,,False
36,ACBD5,537128,91452,HGNC:23338,MedGen:C3661900|,not provided|ACBD5-related disorder,germline,germline,GRCh38,NC_000010.11,10,10p12.1,N,-,Q5T8D3,Acyl-CoA-binding domain-containing protein 5,ACBD5 KIAA1996,534.0,ENST00000375888.5 [Q5T8D3-1];ENST00000375901.5 [Q5T8D3-4];ENST00000375905.8 [Q5T8D3-2];ENST00000396271.8 [Q5T8D3-3];ENST00000679293.1 [Q5T8D3-2];,SUBCELLULAR LOCATION: Peroxisome membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}.,KIAA1996,no,yes,no,cytoplasmic,5,0,6,0,3,0,0,0,0,0,0,147,0,,,False,RETINAL DYSTROPHY WITH LEUKODYSTROPHY,non-essential,Non-essential,non-essential,No,,Yes,4.02,47.10098403,no,No,,Peroxisomes,,False
37,ACD,205539,65057,HGNC:25070,"MONDO:MONDO:0800370,MedGen:C4225283|MONDO:MONDO:0014690,MedGen:C4225284,OMIM:616553,Orphanet:3322|MedGen:CN169374","Dyskeratosis congenita, autosomal recessive 7|Dyskeratosis congenita, autosomal dominant 6|not specified",germline,germline,GRCh38,NC_000016.10,16,16q22.1,N,-,Q96AP0,Adrenocortical dysplasia protein homolog (POT1 and TIN2-interacting protein),ACD PIP1 PTOP TINT1 TPP1,458.0,ENST00000219251.13 [Q96AP0-2];ENST00000620761.6 [Q96AP0-3];,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15181449, ECO:0000269|PubMed:25205116, ECO:0000269|PubMed:25233904}. Chromosome, telomere {ECO:0000269|PubMed:15181449, ECO:0000269|PubMed:25205116, ECO:0000269|PubMed:25233904}.",PIP1 PTOP TINT1 TPP1,no,no,yes,nuclear,1,0,14,0,21,0,0,0,0,0,0,561,0,,,False,"Dyskeratosis congenita, autosomal dominant 6",non-essential,Non-essential,non-essential,Yes,Telomere-associated protein complex,Yes,3.46,47.97828929,no,No,,Nuclear bodies,,True
39,ACER3,439564,55331,HGNC:16066,"MONDO:MONDO:0044718,MedGen:C4540358,OMIM:617762,Orphanet:502444|MedGen:C3661900",Alkaline ceramidase 3 deficiency|not provided,germline,germline,GRCh38,NC_000011.10,11,11q13.5,N,-,Q9NUN7,Alkaline ceramidase 3 (AlkCDase 3) (Alkaline CDase 3) (EC 3.5.1.-) (EC 3.5.1.23) (Alkaline dihydroceramidase SB89) (Alkaline phytoceramidase) (aPHC),ACER3 APHC PHCA,267.0,ENST00000532485.6 [Q9NUN7-1];,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:11356846}; Multi-pass membrane protein {ECO:0000269|PubMed:11356846, ECO:0000269|PubMed:30575723}. Golgi apparatus membrane {ECO:0000269|PubMed:11356846}; Multi-pass membrane protein {ECO:0000269|PubMed:11356846, ECO:0000269|PubMed:30575723}.",APHC PHCA,no,yes,no,cytoplasmic,1,0,0,0,1,0,0,0,0,2,0,39,0,,,False,Alkaline ceramidase 3 deficiency,non-essential,Non-essential,non-essential,No,,No,,,,No,,,,False
43,ACP5,38786,54,HGNC:124,"MONDO:MONDO:0011939,MedGen:C1842763,OMIM:607944,Orphanet:1855",Spondyloenchondrodysplasia with immune dysregulation,germline,germline,GRCh38,NC_000019.10,19,19p13.2,N,-,P13686,Tartrate-resistant acid phosphatase type 5 (TR-AP) (EC 3.1.3.2) (Tartrate-resistant acid ATPase) (TrATPase) (Type 5 acid phosphatase),ACP5,325.0,ENST00000218758.10;ENST00000412435.7;ENST00000589792.6;ENST00000590832.2;ENST00000591319.2;ENST00000592659.2;ENST00000592828.7;ENST00000648477.1;ENST00000649386.2;ENST00000695791.1;ENST00000695811.1;,SUBCELLULAR LOCATION: Lysosome.,,no,no,no,other,3,0,6,0,6,0,2,0,0,3,0,138,0,,,False,Spondyloenchondrodysplasia with immune dysregulation,non-essential,Non-essential,non-essential,No,,No,,,,No,,Cytosol,,True
44,ACSF3,40091,197322,HGNC:27288,"MONDO:MONDO:0013661,MedGen:C3280314,OMIM:614265,Orphanet:289504|MedGen:C3661900|",Combined malonic and methylmalonic acidemia|not provided|ACSF3-related disorder,germline;unknown,germline,GRCh38,NC_000016.10,16,16q24.3,N,-,Q4G176,"Malonate--CoA ligase ACSF3, mitochondrial (EC 6.2.1.76) (Acyl-CoA synthetase family member 3)",ACSF3 PSEC0197,576.0,ENST00000317447.9;ENST00000406948.7;ENST00000614302.5;,"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:21841779, ECO:0000269|PubMed:21846720}.",PSEC0197,no,yes,no,cytoplasmic,3,0,17,0,12,0,6,0,0,0,0,179,0,,,False,Combined malonic and methylmalonic aciduria,non-essential,Non-essential,non-essential,No,,No,,48.41799026,no,No,,Mitochondria,,False
46,ACTA1,33318,58,HGNC:129,"MONDO:MONDO:0008070,MedGen:C3711389,OMIM:161800,Orphanet:98904||MONDO:MONDO:0859517,MedGen:C5830300,OMIM:620265","Actin accumulation myopathy|ACTA1-related myopathies|Congenital myopathy 2b, severe infantile, autosomal recessive",germline,germline,GRCh38,NC_000001.11,1,1q42.13,N,-,P68133,"Actin, alpha skeletal muscle (EC 3.6.4.-) (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]",ACTA1 ACTA,377.0,ENST00000366684.7;,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.",ACTA,no,yes,no,cytoplasmic,0,0,9,0,0,0,94,0,0,73,0,137,0,,,False,Congenital myopathy with excess of thin filaments,non-essential,Non-essential,non-essential,No,,Yes,4.75,53.06197013,yes,Yes,,,,False
47,ACTA2,33315,59,HGNC:130,"MONDO:MONDO:0012730,MedGen:C2673186,OMIM:611788|MedGen:C3661900|MONDO:MONDO:0019625,MedGen:C4707243,OMIM:PS607086,Orphanet:91387|MONDO:MONDO:0011770,MedGen:C1846837,OMIM:607087","Aortic aneurysm, familial thoracic 6|not provided|Familial thoracic aortic aneurysm and aortic dissection|Aortic aneurysm, familial thoracic 2",germline,germline,GRCh38,NC_000010.11,10,10q23.31,N,-,P62736,"Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]",ACTA2 ACTSA ACTVS GIG46,377.0,ENST00000224784.10;ENST00000415557.2;ENST00000458159.6;ENST00000713597.1;ENST00000713599.1;ENST00000713602.1;,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.",ACTSA ACTVS GIG46,no,yes,no,cytoplasmic,0,0,19,0,0,0,18,0,0,6,0,243,0,0.0,,False,Multisystemic smooth muscle dysfunction syndrome,non-essential,Essential,non-essential,Yes,Nop56p-associated pre-rRNA complex,Yes,4.53,52.36496625,yes,Yes,,Actin filaments,,True
48,ACTB,33314,60,HGNC:132,"MedGen:C3661900|MONDO:MONDO:0009470,MedGen:C1855722,OMIM:243310,Orphanet:2649,Orphanet:2995|MONDO:MONDO:0011823,MedGen:C5848323,OMIM:607371,Orphanet:79107||MeSH:D030342,MedGen:C0950123",not provided|Baraitser-Winter syndrome 1|Developmental malformations-deafness-dystonia syndrome|ACTB-related BAFopathy|Inborn genetic diseases,de novo;germline;unknown,germline,GRCh38,NC_000007.14,7,7p22.1,N,-,P60709,"Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]",ACTB,375.0,ENST00000493945.6;ENST00000642480.2;ENST00000646664.1;ENST00000674681.1;ENST00000675515.1;,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11687588, ECO:0000269|PubMed:17289661}. Nucleus {ECO:0000269|PubMed:11687588, ECO:0000269|PubMed:29925947}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. {ECO:0000269|PubMed:17289661}.",,no,yes,yes,SGE,0,0,13,0,0,0,61,0,0,24,0,107,0,1.0,Actin>Actin; Actin>Cytoplasm,False,Baraitser-Winter syndrome 1,non-essential,Non-essential,Essential,Yes,NUMAC complex (nucleosomal methylation activator complex),Yes,4.85,55.64760101,yes,Yes,N,,,False
49,ACTC1,33362,70,HGNC:143,"MONDO:MONDO:0013261,MedGen:C3150681,OMIM:613424,Orphanet:154,Orphanet:54260|MedGen:C3661900|MONDO:MONDO:0013011,MedGen:C2748552,OMIM:612794,Orphanet:1478;MONDO:MONDO:0013261,MedGen:C3150681,OMIM:613424,Orphanet:154,Orphanet:54260;MONDO:MONDO:0012799,MedGen:C2677506,OMIM:612098|Human Phenotype Ontology:HP:0001639,MONDO:MONDO:0005045,MeSH:D002312,MedGen:C0007194,Orphanet:217569|Human Phenotype Ontology:HP:0001638,MONDO:MONDO:0004994,MedGen:C0878544,Orphanet:167848",Dilated cardiomyopathy 1R|not provided|Atrial septal defect 5;Dilated cardiomyopathy 1R;Hypertrophic cardiomyopathy 11|Hypertrophic cardiomyopathy|Cardiomyopathy,germline;maternal,germline,GRCh38,NC_000015.10,15,15q14,N,-,P68032,"Actin, alpha cardiac muscle 1 (EC 3.6.4.-) (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]",ACTC1 ACTC,377.0,ENST00000290378.6;ENST00000713610.1;ENST00000713615.1;,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.",ACTC,no,yes,no,cytoplasmic,0,0,20,0,0,0,12,0,0,2,0,274,0,0.0,,False,Atrial septal defect,non-essential,Non-essential,non-essential,No,,No,,55.5416796,yes,Yes,,,,False
50,ACTG1,33355,71,HGNC:144,"MONDO:MONDO:0011480,MedGen:C1858172,OMIM:604717,Orphanet:90635|MONDO:MONDO:0019497,MedGen:C5680182,Orphanet:87884|MedGen:C3661900",Autosomal dominant nonsyndromic hearing loss 20|Nonsyndromic genetic hearing loss|not provided,germline,germline,GRCh38,NC_000017.11,17,17q25.3,N,-,P63261,"Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]",ACTG1 ACTG,375.0,ENST00000570382.2;ENST00000571721.6;ENST00000573283.7;ENST00000575087.5;ENST00000575659.6;ENST00000575842.5;ENST00000575994.6;ENST00000576544.6;ENST00000615544.5;ENST00000679480.1;ENST00000679778.1;ENST00000680227.1;ENST00000680727.1;ENST00000681052.1;ENST00000681842.1;ENST00000707466.1;ENST00000707467.1;ENST00000707468.1;ENST00000707469.1;ENST00000707470.1;ENST00000707471.1;ENST00000707472.1;ENST00000707473.1;ENST00000707474.1;ENST00000707479.1;ENST00000707482.1;ENST00000707485.1;ENST00000707487.1;ENST00000707489.1;ENST00000707490.1;,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:28493397}.",ACTG,no,yes,no,cytoplasmic,0,0,19,0,2,0,38,0,0,10,0,122,0,,,False,Baraitser-Winter Syndrome 2,non-essential,Non-essential,non-essential,Yes,BAF complex,Yes,5.06,,,Yes,N,,,False
51,ACTG2,136546,72,HGNC:145,"MONDO:MONDO:0020754,MedGen:C5542197,OMIM:155310,Orphanet:2604|MONDO:MONDO:0017574,MedGen:C0238062,Orphanet:2978",Visceral myopathy 1|Chronic intestinal pseudoobstruction,germline,germline,GRCh38,NC_000002.12,2,2p13.1,N,-,P63267,"Actin, gamma-enteric smooth muscle (EC 3.6.4.-) (Alpha-actin-3) (Gamma-2-actin) (Smooth muscle gamma-actin) [Cleaved into: Actin, gamma-enteric smooth muscle, intermediate form]",ACTG2 ACTA3 ACTL3 ACTSG,376.0,ENST00000345517.8 [P63267-1];ENST00000409624.1 [P63267-1];ENST00000409731.7 [P63267-2];,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.",ACTA3 ACTL3 ACTSG,no,yes,no,cytoplasmic,0,0,1,0,0,0,19,0,0,16,0,28,0,,,False,Visceral myopathy,non-essential,Non-essential,non-essential,Yes,Nop56p-associated pre-rRNA complex,Yes,3.95,,,Yes,,,,False
52,ACTL6A,536013,86,HGNC:24124,"Human Phenotype Ontology:HP:0000754,Human Phenotype Ontology:HP:0001255,Human Phenotype Ontology:HP:0001263,Human Phenotype Ontology:HP:0001277,Human Phenotype Ontology:HP:0001292,Human Phenotype Ontology:HP:0002433,Human Phenotype Ontology:HP:0002473,Human Phenotype Ontology:HP:0002532,Human Phenotype Ontology:HP:0006793,Human Phenotype Ontology:HP:0006867,Human Phenotype Ontology:HP:0006885,Human Phenotype Ontology:HP:0006935,Human Phenotype Ontology:HP:0007005,Human Phenotype Ontology:HP:0007094,Human Phenotype Ontology:HP:0007106,Human Phenotype Ontology:HP:0007174,Human Phenotype Ontology:HP:0007224,Human Phenotype Ontology:HP:0007228,Human Phenotype Ontology:HP:0007342,Human Phenotype Ontology:HP:0025356,MedGen:C0557874;Human Phenotype Ontology:HP:0000750,Human Phenotype Ontology:HP:0002116,Human Phenotype Ontology:HP:0002117,Human Phenotype Ontology:HP:0002336,Human Phenotype Ontology:HP:0002399,Human Phenotype Ontology:HP:0002498,Human Phenotype Ontology:HP:0006936,Human Phenotype Ontology:HP:0007004,Human Phenotype Ontology:HP:0007127,Human Phenotype Ontology:HP:0007170,Human Phenotype Ontology:HP:0007172,MedGen:C0454644",Global developmental delay;Delayed speech and language development,germline,germline,GRCh38,NC_000003.12,3,3q26.33,N,-,O96019,Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K),ACTL6A BAF53 BAF53A INO80K,429.0,ENST00000392662.5 [O96019-2];ENST00000429709.7 [O96019-1];ENST00000450518.6 [O96019-2];,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18026119}.,BAF53 BAF53A INO80K,no,no,yes,SGE,1,0,1,0,3,0,0,0,0,0,0,34,0,,,False,,Essential,Non-essential,Essential,Yes,SIN3-ING1b complex II,No,,50.37145007,yes,No,,Nucleoplasm,Cytosol,True
